"original_name","unique_id"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;","Seq_1"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;","Seq_2"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;","Seq_3"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Oxalobacteraceae;Janthinobacterium;","Seq_4"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;","Seq_5"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;SAR86 clade;","Seq_6"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Marinobacteraceae;Marinobacter;","Seq_7"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Rhodoferax;","Seq_8"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Frateuria;","Seq_9"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;","Seq_10"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;","Seq_11"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Comamonadaceae;","Seq_12"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;","Seq_13"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Rhodanobacteraceae;Luteibacter;","Seq_14"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas;","Seq_15"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Halomonadaceae;Halomonas;","Seq_16"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Alcanivoracaceae1;Alcanivorax;","Seq_17"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Ga0077536;","Seq_18"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Succinivibrionaceae;Ruminobacter;","Seq_19"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Burkholderiales;Methylophilaceae;OM43 clade;","Seq_20"
"Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Hafniaceae;Hafnia-Obesumbacterium;","Seq_21"
"Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;","Seq_22"
"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;","Seq_23"
"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;","Seq_24"
"Bacteria;Bacillota;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus;","Seq_25"
"Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;","Seq_26"
"Bacteria;Bacillota;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;","Seq_27"
"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;","Seq_28"
"Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;","Seq_29"
"Bacteria;Bacillota;Bacilli;Bacillales;Planococcaceae;Lysinibacillus;","Seq_30"
"Bacteria;Bacillota;Bacilli;Exiguobacterales;Exiguobacteraceae;Exiguobacterium;","Seq_31"
"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Halobacillus;","Seq_32"
"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;","Seq_33"
"Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;","Seq_34"
"Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;","Seq_35"
"Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;","Seq_36"
"Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;","Seq_37"
